Año,Ronda,Posición,PJ,PG,PE,PP,GF,GC,Goleador
1977,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó
1979,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó
1981,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó
1983,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó
1985,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó
1987,Cuarto lugar,4.º,6,3,1,2,9,9,Pino: 5
1989,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó
1991,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó
1993,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó
1995,Fase de grupos,13.º,3,0,2,1,6,9,Rozental: 4
1997,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó
1999,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó
2001,Fase de grupos,20.º,3,1,0,2,4,8,"Millar, Pardo, Valdés y Berríos: 1"
2003,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó
2005,Octavos de final,15.º,4,1,0,3,7,11,Parada y Fuenzalida: 2
2007,Tercer lugar,3.º,7,5,1,1,12,3,"Medina, Vidal, Grondona e Isla: 2"
2009,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó
2011,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó
2013,Cuartos de final,6.º,5,2,1,2,9,8,Castillo: 4
2015,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó
2017,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó
2019,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó
2023,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó,No clasificó
2025,Clasificado,Clasificado,Clasificado,Clasificado,Clasificado,Clasificado,Clasificado,Clasificado,Clasificado
Total,7/23,19.º,28,12,5,11,47,48,Pino: 5
